ANNEE;NOMENCLATURE;CLE;STATUT;REALISE TOTAL;FONCTION;FONCTION_PARENT;CODE_AXE_ANALYTIQUE_PROFONDEUR_1;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_1;CODE_AXE_ANALYTIQUE_PROFONDEUR_2;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_2;CODE_AXE_ANALYTIQUE_PROFONDEUR_3;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_3;CODE_AXE_ANALYTIQUE_PROFONDEUR_4;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_4;CODE_AXE_ANALYTIQUE_PROFONDEUR_5;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_5
2022.0;M14;DRF/11.0/60221.;CA;45;331.0;331.0;0112.; JEUNESSE;PACIFIC.; PACIFIC;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;-125,6;20.0;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;27747,34;20.0;20.0;0102.; EDUCATION;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;1458,83;20.0;20.0;0103.; BATIMENTS COMMUNAUX;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;272,51;20.0;20.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;312,5;20.0;20.0;0115.; PROTOCOLE;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;494,74;20.0;20.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;11499,46;22.0;22.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;-4004,5;23.0;23.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;150;25.0;25.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;12900;11.0;11.0;0117.; POLICE MUNICIPALE;PIGEONS.; Pigeons;;;;;;
2022.0;M14;DRF/11.0/6042.;CA;220;212.0;212.0;0102.; EDUCATION;PRMACE.; Primaire Jean Macé;;;;;;
