Section ;CHAPITRE;NOMENCLATURE;STATUT;CHAPITRE_LIB;ARTICLE;OPERATION;OPERATION_LIB;FONCTION;CODE_AXE_ANALYTIQUE_PROFONDEUR_1;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_1;CODE_AXE_ANALYTIQUE_PROFONDEUR_2;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_2;Réalisé total;SENS;SECTION;ANNEE
DRF;11.0;M14;CA; Charges à caractère général;60221.;;;331.0;0112.; JEUNESSE;PACIFIC.; PACIFIC;45;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;20.0;0101.; ADMINISTRATION GENERALE ET JURIDIQUE;HCV.; Hors compte ventilation;-125,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;20.0;0102.; EDUCATION;HCV.; Hors compte ventilation;27747,34;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;20.0;0103.; BATIMENTS COMMUNAUX;HCV.; Hors compte ventilation;1458,83;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;20.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;272,51;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;20.0;0115.; PROTOCOLE;HCV.; Hors compte ventilation;312,5;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;20.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;494,74;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;22.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;11499,46;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;23.0;0119.; COMMUNICATION;HCV.; Hors compte ventilation;-4004,5;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;25.0;01061.; POLE CADRE DE VIE ;HCV.; Hors compte ventilation;150;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;11.0;0117.; POLICE MUNICIPALE;PIGEONS.; Pigeons;12900;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;212.0;0102.; EDUCATION;PRMACE.; Primaire Jean Macé;220;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;281.0;0102.; EDUCATION;PetitDéj.; Petit Déjeuner;3539,6;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;281.0;0102.; EDUCATION;HCV.; Hors compte ventilation;6061,25;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;281.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;1458,75;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;282.0;0102.; EDUCATION;HCV.; Hors compte ventilation;114600;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;284.0;0112.; JEUNESSE;HCV.; Hors compte ventilation;94105;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;311.0;0110.; EVENEMENTIEL;BIGTOUR.; BIG TOUR;10282,2;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;311.0;0110.; EVENEMENTIEL;GUSO.; Redevances GUSO;726,35;Dépense;Fonctionnement;2022.0
DRF;11.0;M14;CA; Charges à caractère général;6042.;;;311.0;0110.; EVENEMENTIEL;SPECTACLES.; Spectacles Evènementiel ;12273,23;Dépense;Fonctionnement;2022.0
